TerapeutaID,Nombre,Especialidad
1,jordany jimenez,Masajes deportivos
2,Andrés Peña,Masajes deportivos
3,Claudia Herrera,Aromaterapia
4,Roberto Díaz,Reflexología
5,Patricia Santos,Masajes faciales
6,Fernando Ruiz,Masajes terapéuticos
7,Gabriela Ortiz,Masajes con piedras calientes
8,Ricardo Vargas,Masajes descontracturantes
9,Elena Navarro,Masajes prenatales
10,Javier Méndez,Masajes linfáticos
11,Teresa Morales,Masajes relajantes
12,Andrés Peña,Masajes deportivos
13,Claudia Herrera,Aromaterapia
14,Roberto Díaz,Reflexología
15,Patricia Santos,Masajes faciales
16,Fernando Ruiz,Masajes terapéuticos
17,Gabriela Ortiz,Masajes con piedras calientes
18,Ricardo Vargas,Masajes descontracturantes
19,Elena Navarro,Masajes prenatales
20,Javier Méndez,Masajes linfáticos
1002,jordany,masaje
